provincia,departamento,jardines,poblacion_jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria
Buenos Aires,LA MATANZA,333,87162.0,335,193043.0,336,214041.0
Buenos Aires,LA PLATA,234,29260.0,201,66893.0,211,78431.0
Buenos Aires,LOMAS DE ZAMORA,170,28806.0,179,65571.0,191,76653.0
Buenos Aires,GENERAL PUEYRREDON,178,23100.0,168,53294.0,173,67001.0
Buenos Aires,QUILMES,160,26975.0,145,60261.0,151,70705.0
Buenos Aires,MORENO,120,28521.0,138,65328.0,134,71388.0
Buenos Aires,ALMIRANTE BROWN,140,25188.0,137,58015.0,146,68125.0
Buenos Aires,MERLO,108,27105.0,120,61148.0,125,70111.0
Buenos Aires,LANUS,118,16028.0,117,37841.0,113,46520.0
Buenos Aires,PILAR,108,18864.0,112,42505.0,105,48967.0
Buenos Aires,TIGRE,123,18454.0,111,44078.0,107,53284.0
Buenos Aires,GENERAL SAN MARTIN,98,15897.0,98,38161.0,96,46012.0
Buenos Aires,FLORENCIO VARELA,99,24703.0,98,55183.0,102,61698.0
Buenos Aires,BAHIA BLANCA,97,12522.0,95,29136.0,81,33554.0
Buenos Aires,BERAZATEGUI,100,14843.0,94,35310.0,97,41619.0
Buenos Aires,SAN MIGUEL,86,13979.0,91,31904.0,97,35784.0
Buenos Aires,AVELLANEDA,118,13168.0,91,31635.0,76,37923.0
Buenos Aires,MORON,99,10346.0,91,24608.0,86,30756.0
Buenos Aires,SAN ISIDRO,96,9488.0,89,22338.0,88,29037.0
Buenos Aires,TRES DE FEBRERO,104,12280.0,87,28750.0,83,35036.0
Buenos Aires,MALVINAS ARGENTINAS,76,14565.0,81,34313.0,87,40965.0
Buenos Aires,ESCOBAR,81,12294.0,79,27457.0,78,30240.0
Buenos Aires,VICENTE LOPEZ,105,8348.0,75,19249.0,69,24673.0
Buenos Aires,OLAVARRIA,61,4840.0,74,11123.0,41,13458.0
Buenos Aires,ESTEBAN ECHEVERRIA,71,15490.0,71,35257.0,72,40096.0
Buenos Aires,JOSE C. PAZ,54,16399.0,63,36232.0,61,40098.0
Buenos Aires,TANDIL,63,5517.0,62,12620.0,41,14987.0
Buenos Aires,SAN NICOLAS,50,6938.0,57,15253.0,51,17817.0
Buenos Aires,PERGAMINO,54,4820.0,56,10471.0,39,12182.0
Buenos Aires,SAN FERNANDO,64,6594.0,55,15307.0,47,18054.0
Buenos Aires,AZUL,39,3086.0,54,7022.0,27,8263.0
Buenos Aires,NECOCHEA,44,3905.0,50,9031.0,35,10861.0
Buenos Aires,LUJAN,52,4701.0,49,10571.0,38,12158.0
Buenos Aires,CHIVILCOY,34,2733.0,49,6129.0,22,7531.0
Buenos Aires,TRENQUE LAUQUEN,41,2171.0,47,4578.0,17,5190.0
Buenos Aires,25 DE MAYO,40,1498.0,47,3189.0,17,3782.0
Buenos Aires,JUNIN,42,4127.0,46,8925.0,35,10236.0
Buenos Aires,EZEIZA,53,9825.0,46,21962.0,45,24742.0
Buenos Aires,HURLINGHAM,47,6675.0,46,16075.0,50,19542.0
Buenos Aires,ZARATE,45,5546.0,45,13121.0,37,15610.0
Buenos Aires,ITUZAINGO,49,6232.0,45,15026.0,47,18670.0
Buenos Aires,MERCEDES,44,3084.0,44,6743.0,25,7892.0
Buenos Aires,CAMPANA,40,4628.0,43,10711.0,41,12722.0
Buenos Aires,SAN PEDRO,31,3165.0,42,7116.0,25,8280.0
Buenos Aires,LINCOLN,31,1843.0,41,4008.0,19,4746.0
Buenos Aires,TRES ARROYOS,35,2432.0,41,5501.0,22,6283.0
Buenos Aires,CAÑUELAS,30,3575.0,39,8115.0,30,8920.0
Buenos Aires,LAS FLORES,16,1101.0,39,2355.0,10,2959.0
Buenos Aires,CHASCOMUS,24,1873.0,38,4228.0,19,4971.0
Buenos Aires,BALCARCE,31,1973.0,38,4356.0,20,4982.0
Buenos Aires,CHACABUCO,33,1940.0,37,4504.0,19,5651.0
Buenos Aires,BOLIVAR,30,1590.0,37,3296.0,15,3767.0
Buenos Aires,9 DE JULIO,35,2262.0,37,4895.0,21,5934.0
Buenos Aires,SALADILLO,29,1476.0,36,3213.0,13,3911.0
Buenos Aires,AYACUCHO,21,985.0,36,2051.0,12,2541.0
Buenos Aires,LOBOS,29,1853.0,35,3961.0,15,4742.0
Buenos Aires,CORONEL SUAREZ,35,1573.0,35,3775.0,22,4180.0
Buenos Aires,GENERAL RODRIGUEZ,38,7808.0,34,18024.0,32,18644.0
Buenos Aires,PEHUAJO,30,1886.0,34,4099.0,18,5012.0
Buenos Aires,VILLARINO,23,1415.0,32,3167.0,14,3798.0
Buenos Aires,GENERAL VILLEGAS,30,1510.0,32,3412.0,17,4022.0
Buenos Aires,LOBERIA,20,699.0,32,1606.0,10,1897.0
Buenos Aires,SAN VICENTE,32,5505.0,32,12095.0,20,12889.0
Buenos Aires,NAVARRO,22,828.0,30,1995.0,9,2428.0
Buenos Aires,SAN ANDRES DE GILES,28,1236.0,29,2599.0,16,3015.0
Buenos Aires,BERISSO,26,4327.0,28,10089.0,25,11412.0
Buenos Aires,PATAGONES,24,1630.0,28,3677.0,14,3920.0
Buenos Aires,BARADERO,28,1697.0,27,3706.0,19,4484.0
Buenos Aires,MAR CHIQUITA,19,1423.0,26,3085.0,13,3581.0
Buenos Aires,CORONEL DE MARINA L ROSALES,23,2684.0,26,6284.0,19,7493.0
Buenos Aires,GENERAL ALVEAR,15,429.0,26,968.0,6,1081.0
Buenos Aires,GENERAL PAZ,15,639.0,25,1495.0,6,1600.0
Buenos Aires,ROQUE PEREZ,17,615.0,25,1342.0,6,1546.0
Buenos Aires,MARCOS PAZ,25,3460.0,24,7274.0,17,8351.0
Buenos Aires,LA COSTA,28,4245.0,24,9744.0,22,11692.0
Buenos Aires,CORONEL PRINGLES,19,1075.0,24,2404.0,11,2553.0
Buenos Aires,RAMALLO,12,1929.0,24,4031.0,11,4764.0
Buenos Aires,MAGDALENA,20,1042.0,23,2352.0,15,2676.0
Buenos Aires,GENERAL JUAN MADARIAGA,19,909.0,23,2191.0,11,2821.0
Buenos Aires,CARLOS CASARES,18,979.0,23,2127.0,14,2474.0
Buenos Aires,ADOLFO ALSINA,18,732.0,23,1463.0,12,1671.0
Buenos Aires,BRANDSEN,20,1475.0,22,3406.0,17,4101.0
Buenos Aires,BRAGADO,18,1884.0,22,4108.0,16,4902.0
Buenos Aires,RAUCH,20,669.0,22,1501.0,7,1779.0
Buenos Aires,TAPALQUE,15,486.0,22,971.0,5,1213.0
Buenos Aires,EXALTACION DE LA CRUZ,19,1929.0,21,4195.0,14,4585.0
Buenos Aires,DOLORES,11,1398.0,21,2888.0,9,3479.0
Buenos Aires,GENERAL ALVARADO,22,1945.0,21,4115.0,20,4961.0
Buenos Aires,DAIREAUX,18,790.0,21,1704.0,10,2110.0
Buenos Aires,RIVADAVIA,17,942.0,20,2000.0,10,2190.0
Buenos Aires,ROJAS,20,1027.0,20,2284.0,9,2802.0
Buenos Aires,SALTO,21,1728.0,20,3725.0,14,4474.0
Buenos Aires,CORONEL DORREGO,18,632.0,20,1368.0,10,1659.0
Buenos Aires,ARRECIFES,19,1435.0,20,3046.0,10,3457.0
Buenos Aires,TORNQUIST,16,570.0,20,1351.0,12,1436.0
Buenos Aires,CARLOS TEJEDOR,19,628.0,19,1331.0,9,1492.0
Buenos Aires,PRESIDENTE PERON,22,5563.0,19,12302.0,19,13904.0
Buenos Aires,CARMEN DE ARECO,17,785.0,19,1627.0,9,2009.0
Buenos Aires,MONTE,17,1098.0,18,2558.0,10,2853.0
Buenos Aires,GUAMINI,16,460.0,18,1028.0,8,1224.0
Buenos Aires,CASTELLI,7,416.0,18,888.0,3,1029.0
Buenos Aires,SAN ANTONIO DE ARECO,25,1168.0,18,2443.0,11,2999.0
Buenos Aires,GENERAL VIAMONTE,15,1002.0,18,2208.0,9,2369.0
Buenos Aires,ENSENADA,18,2860.0,18,6608.0,16,7828.0
Buenos Aires,PUAN,14,541.0,18,1236.0,13,1455.0
Buenos Aires,SAAVEDRA,16,785.0,18,1822.0,10,2086.0
Buenos Aires,LAPRIDA,11,532.0,16,1175.0,5,1343.0
Buenos Aires,GENERAL LA MADRID,13,474.0,16,1083.0,8,1160.0
Buenos Aires,GENERAL LAS HERAS,16,836.0,16,1773.0,6,2104.0
Buenos Aires,GENERAL BELGRANO,12,899.0,16,1957.0,9,2208.0
Buenos Aires,ADOLFO GONZALES CHAVES,13,523.0,15,1184.0,9,1387.0
Buenos Aires,PUNTA INDIO,10,535.0,15,1193.0,6,1238.0
Buenos Aires,COLON,16,1112.0,15,2418.0,11,2994.0
Buenos Aires,PILA,9,248.0,15,511.0,2,522.0
Buenos Aires,LEANDRO N. ALEM,11,739.0,15,1585.0,7,1953.0
Buenos Aires,GENERAL GUIDO,6,137.0,14,285.0,3,357.0
Buenos Aires,SUIPACHA,13,535.0,14,1157.0,6,1428.0
Buenos Aires,BENITO JUAREZ,11,916.0,13,1912.0,10,2380.0
Buenos Aires,GENERAL PINTO,9,585.0,13,1131.0,7,1365.0
Buenos Aires,VILLA GESELL,11,1476.0,12,3608.0,12,4460.0
Buenos Aires,ALBERTI,12,495.0,12,1166.0,7,1410.0
Buenos Aires,MAIPU,10,503.0,12,1058.0,5,1171.0
Buenos Aires,CAPITAN SARMIENTO,11,625.0,12,1468.0,6,1686.0
Buenos Aires,LEZAMA,5,255.0,11,546.0,4,663.0
Buenos Aires,SAN CAYETANO,7,314.0,10,731.0,4,881.0
Buenos Aires,PINAMAR,12,1719.0,10,3865.0,9,4633.0
Buenos Aires,GENERAL ARENALES,12,655.0,10,1331.0,10,1608.0
Buenos Aires,FLORENTINO AMEGHINO,9,470.0,9,1070.0,7,1312.0
Buenos Aires,HIPOLITO YRIGOYEN,7,435.0,9,919.0,5,1156.0
Buenos Aires,GENERAL LAVALLE,7,250.0,8,549.0,3,580.0
Buenos Aires,TRES LOMAS,7,380.0,7,834.0,4,986.0
Buenos Aires,PELLEGRINI,7,373.0,6,719.0,4,722.0
Buenos Aires,TORDILLO,4,136.0,5,259.0,1,270.0
Buenos Aires,SALLIQUELO,5,366.0,5,818.0,4,991.0
Buenos Aires,MONTE HERMOSO,5,317.0,3,810.0,3,914.0
Catamarca,BELEN,45,1434.0,57,2993.0,27,3870.0
Catamarca,LA PAZ,29,1261.0,51,2725.0,18,3265.0
Catamarca,CAPITAL,51,8055.0,46,17212.0,45,20464.0
Catamarca,TINOGASTA,30,1134.0,39,2400.0,19,3068.0
Catamarca,SANTA MARIA,27,1238.0,33,2579.0,28,3038.0
Catamarca,CAPAYAN,24,898.0,29,1892.0,12,2395.0
Catamarca,ANCASTI,7,137.0,28,286.0,5,370.0
Catamarca,ANDALGALA,17,870.0,26,1720.0,15,2368.0
Catamarca,SANTA ROSA,17,625.0,25,1288.0,11,1549.0
Catamarca,EL ALTO,16,204.0,25,448.0,9,554.0
Catamarca,POMAN,13,554.0,20,1243.0,12,1558.0
Catamarca,AMBATO,13,218.0,18,365.0,5,475.0
Catamarca,VALLE VIEJO,17,1520.0,18,3303.0,14,3905.0
Catamarca,PACLIN,10,172.0,13,429.0,5,533.0
Catamarca,FRAY MAMERTO ESQUIU,10,654.0,10,1424.0,7,1624.0
Catamarca,ANTOFAGASTA DE LA SIERRA,3,74.0,5,203.0,2,212.0
Chaco,GENERAL GUEMES,106,3925.0,235,8259.0,52,8792.0
Chaco,SAN FERNANDO,170,18040.0,139,38963.0,102,43342.0
Chaco,LIBERTADOR GENERAL SAN MARTIN,57,3634.0,99,7273.0,30,8036.0
Chaco,COMANDANTE FERNANDEZ,51,4754.0,68,10417.0,33,12481.0
