provincia,departamento,cantidad_bp,cantidad_ee,poblacion_total
Córdoba,CAPITAL,20,1418,1498060.0
Santa Fe,ROSARIO,39,1277,1337958.0
Buenos Aires,LA MATANZA,16,1201,1837168.0
Buenos Aires,LA PLATA,33,859,756074.0
Chaco,SAN FERNANDO,31,805,413764.0
Santa Fe,LA CAPITAL,23,754,568259.0
Buenos Aires,GENERAL PUEYRREDON,6,670,660569.0
Buenos Aires,LOMAS DE ZAMORA,12,661,685644.0
Entre Ríos,PARANA,11,628,388716.0
Tucumán,CAPITAL,10,563,587289.0
Río Negro,GENERAL ROCA,29,560,379627.0
Buenos Aires,QUILMES,9,536,631774.0
Buenos Aires,ALMIRANTE BROWN,11,504,583209.0
Neuquén,CONFLUENCIA,40,489,467217.0
Misiones,CAPITAL,7,451,391498.0
Buenos Aires,MORENO,16,439,575758.0
Córdoba,SAN JUSTO,20,434,228951.0
Buenos Aires,LANUS,13,428,460081.0
Buenos Aires,MERLO,4,428,581484.0
Chaco,GENERAL GUEMES,1,409,68429.0
Córdoba,RIO CUARTO,16,403,277979.0
Buenos Aires,TIGRE,13,395,446291.0
Salta,CAPITAL,27,393,624003.0
Corrientes,CAPITAL,15,385,437446.0
Santa Fe,GENERAL OBLIGADO,14,381,197533.0
Formosa,PATIÑO,2,375,81600.0
Buenos Aires,GENERAL SAN MARTIN,14,370,444503.0
Buenos Aires,AVELLANEDA,15,367,366117.0
Buenos Aires,BAHIA BLANCA,15,367,334505.0
Santiago del Estero,CAPITAL,26,360,328824.0
Buenos Aires,MORON,2,357,329517.0
Mendoza,SAN RAFAEL,14,354,213204.0
Buenos Aires,PILAR,6,351,393614.0
Buenos Aires,FLORENCIO VARELA,10,346,488103.0
Santa Fe,GENERAL LOPEZ,21,343,200455.0
Formosa,FORMOSA,8,343,268572.0
Buenos Aires,BERAZATEGUI,6,339,358328.0
Jujuy,DOCTOR MANUEL BELGRANO,7,334,319469.0
Buenos Aires,SAN ISIDRO,7,327,295978.0
Buenos Aires,TRES DE FEBRERO,9,314,362319.0
Santa Fe,CASTELLANOS,21,313,189464.0
Córdoba,COLON,11,312,294511.0
Buenos Aires,SAN MIGUEL,4,308,327650.0
Misiones,OBERA,3,302,120703.0
Mendoza,GUAYMALLEN,5,299,320871.0
Buenos Aires,VICENTE LOPEZ,6,282,280541.0
Misiones,GUARANI,2,277,77075.0
Ciudad de Buenos Aires,Comuna 4,2,276,227024.0
Mendoza,CAPITAL,3,274,123715.0
Formosa,PIRANE,3,267,72560.0
Santiago del Estero,BANDA,13,263,170401.0
Buenos Aires,ESCOBAR,2,263,256071.0
Ciudad de Buenos Aires,Comuna 1,2,260,221001.0
Entre Ríos,GUALEGUAYCHU,8,259,125176.0
Buenos Aires,MALVINAS ARGENTINAS,5,255,349401.0
Buenos Aires,ESTEBAN ECHEVERRIA,3,251,337880.0
San Juan,CAPITAL,16,246,114849.0
Córdoba,PUNILLA,12,246,219494.0
Tucumán,CRUZ ALTA,4,246,227688.0
Santa Fe,LAS COLONIAS,18,243,114730.0
Río Negro,BARILOCHE,9,241,161443.0
Córdoba,UNION,7,236,113635.0
La Rioja,CAPITAL,6,236,210507.0
Entre Ríos,CONCORDIA,5,236,197603.0
Mendoza,GODOY CRUZ,3,236,194557.0
Mendoza,LAS HERAS,6,229,233839.0
Buenos Aires,OLAVARRIA,11,225,122011.0
Misiones,CAINGUAS,3,225,59875.0
Chaco,LIBERTADOR GENERAL SAN MARTIN,6,221,65304.0
Chaco,COMANDANTE FERNANDEZ,2,219,101086.0
Mendoza,MAIPU,3,217,218887.0
Ciudad de Buenos Aires,Comuna 8,2,217,203888.0
Chubut,ESCALANTE,7,216,214829.0
Formosa,PILCOMAYO,8,215,94116.0
Santa Fe,SAN CRISTOBAL,11,213,72593.0
Buenos Aires,SAN NICOLAS,2,212,166657.0
Buenos Aires,TANDIL,14,211,144678.0
Chubut,RAWSON,14,209,144420.0
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,10,209,260769.0
Córdoba,GENERAL SAN MARTIN,8,208,152397.0
Santa Fe,SAN LORENZO,7,208,193786.0
Entre Ríos,URUGUAY,6,206,115516.0
Misiones,SAN IGNACIO,2,205,63194.0
Córdoba,MARCOS JUAREZ,11,204,107286.0
Ciudad de Buenos Aires,Comuna 3,3,204,193537.0
Buenos Aires,JOSE C. PAZ,0,199,326527.0
Santa Fe,VERA,8,198,55463.0
Córdoba,SANTA MARIA,8,197,139012.0
Misiones,GENERAL MANUEL BELGRANO,2,197,45456.0
La Pampa,CAPITAL,8,195,118504.0
Entre Ríos,LA PAZ,3,195,75271.0
Ciudad de Buenos Aires,Comuna 13,1,194,262330.0
Buenos Aires,SAN FERNANDO,7,192,171099.0
Mendoza,SAN MARTIN,4,192,139406.0
Corrientes,GOYA,3,191,106223.0
Córdoba,RIO SEGUNDO,7,190,113311.0
Córdoba,TERCERO ARRIBA,6,188,120207.0
Misiones,IGUAZU,3,188,99838.0
Buenos Aires,PERGAMINO,4,186,114988.0
Salta,GENERAL JOSE DE SAN MARTIN,5,185,177448.0
Ciudad de Buenos Aires,Comuna 7,3,179,213262.0
Santa Fe,SAN JERONIMO,8,178,84617.0
Buenos Aires,EZEIZA,2,178,198620.0
Buenos Aires,HURLINGHAM,2,178,185361.0
Catamarca,CAPITAL,4,174,186466.0
Entre Ríos,VILLAGUAY,3,173,55284.0
Ciudad de Buenos Aires,Comuna 14,1,172,247252.0
Ciudad de Buenos Aires,Comuna 11,4,170,201905.0
Ciudad de Buenos Aires,Comuna 10,2,170,171896.0
Entre Ríos,NOGOYA,4,169,42954.0
Ciudad de Buenos Aires,Comuna 12,6,168,235364.0
Ciudad de Buenos Aires,Comuna 15,5,168,195265.0
Ciudad de Buenos Aires,Comuna 5,5,168,195265.0
Buenos Aires,LUJAN,5,166,110111.0
Mendoza,LUJAN DE CUYO,6,165,171883.0
Misiones,LEANDRO N. ALEM,1,165,49391.0
Córdoba,RIO PRIMERO,3,164,58181.0
Córdoba,CRUZ DEL EJE,1,164,64748.0
Buenos Aires,JUNIN,8,163,100964.0
Buenos Aires,CAMPANA,1,163,107976.0
Buenos Aires,ITUZAINGO,1,163,177983.0
Santa Cruz,GUER AIKE,8,161,137309.0
Buenos Aires,NECOCHEA,5,161,101483.0
Ciudad de Buenos Aires,Comuna 9,4,161,167908.0
Buenos Aires,ZARATE,1,161,131415.0
Misiones,SAN PEDRO,1,157,34690.0
Entre Ríos,FEDERACION,4,156,78264.0
Misiones,ELDORADO,1,156,91133.0
Córdoba,CALAMUCHITA,6,155,75462.0
Tucumán,LEALES,3,154,66352.0
Buenos Aires,AZUL,3,153,75152.0
Tucumán,TAFI VIEJO,4,148,172877.0
Entre Ríos,DIAMANTE,3,148,52312.0
Santa Cruz,DESEADO,7,146,126266.0
Santa Fe,CONSTITUCION,17,145,93000.0
Misiones,LIBERTADOR GRL SAN MARTIN,2,145,52166.0
Ciudad de Buenos Aires,Comuna 6,3,144,201764.0
Santa Fe,IRIONDO,12,143,73636.0
Chaco,MAYOR LUIS J FONTANA,3,142,59798.0
Misiones,25 DE MAYO,2,141,30877.0
Buenos Aires,MERCEDES,1,141,71002.0
Formosa,RAMON LISTA,0,140,17678.0
Mendoza,LAVALLE,3,138,47086.0
Formosa,BERMEJO,0,138,15600.0
San Juan,RAWSON,8,137,136582.0
Santa Fe,CASEROS,10,135,86261.0
Catamarca,BELEN,5,135,30353.0
Río Negro,ADOLFO ALSINA,5,135,63845.0
Santiago del Estero,RIO HONDO,4,135,66637.0
Entre Ríos,COLON,6,134,74890.0
Buenos Aires,TRENQUE LAUQUEN,2,134,49128.0
Mendoza,GENERAL ALVEAR,4,133,52379.0
Salta,ORAN,4,133,159715.0
Entre Ríos,GUALEGUAY,2,133,56796.0
Santa Fe,SAN MARTIN,12,131,67299.0
Salta,RIVADAVIA,1,130,38062.0
Córdoba,SAN JAVIER,5,129,62700.0
Buenos Aires,SAN PEDRO,2,128,68353.0
San Luis,GENERAL PEDERNERA,10,127,148671.0
Córdoba,JUAREZ CELMAN,3,127,68317.0
Buenos Aires,CHIVILCOY,1,127,70554.0
Buenos Aires,GENERAL RODRIGUEZ,1,126,142315.0
Chaco,ALMIRANTE BROWN,0,125,37794.0
Entre Ríos,FEDERAL,2,123,29436.0
Entre Ríos,VICTORIA,0,123,40301.0
