Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20000100,Ciudad de Buenos Aires,2104,1.0,,,,1.0
20000102,Ciudad de Buenos Aires,2104,1.0,1.0,1.0,1.0,
20000200,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20000300,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,,
20000301,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20000500,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20000700,Ciudad de Buenos Aires,2109,1.0,1.0,1.0,1.0,1.0
20000800,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20000900,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20001000,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20001100,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20001200,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20001500,Ciudad de Buenos Aires,2101,,,,,
20001700,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,
20001800,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20001900,Ciudad de Buenos Aires,2103,,,,,
20002000,Ciudad de Buenos Aires,2105,,,,,
20002100,Ciudad de Buenos Aires,2103,,,,,
20002200,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20002300,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20002400,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20002500,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20002600,Ciudad de Buenos Aires,2113,1.0,,,,
20002700,Ciudad de Buenos Aires,2113,1.0,,1.0,,
20002800,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,
20002900,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,
20003100,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,1.0
20003300,Ciudad de Buenos Aires,2101,1.0,,1.0,1.0,
20003400,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,
20003600,Ciudad de Buenos Aires,2101,,,,,
20003700,Ciudad de Buenos Aires,2104,1.0,1.0,1.0,,
20003800,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20003900,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20004000,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20004100,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20004200,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20004300,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20004400,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20004500,Ciudad de Buenos Aires,2103,,,,,
20004600,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20004700,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,
20004800,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20004900,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,
20005000,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20005100,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20005200,Ciudad de Buenos Aires,2115,,,,,
20005300,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20005400,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,
20005500,Ciudad de Buenos Aires,2101,1.0,1.0,1.0,,
20005600,Ciudad de Buenos Aires,2103,1.0,,,1.0,
20005700,Ciudad de Buenos Aires,2104,,,,,
20005800,Ciudad de Buenos Aires,2103,1.0,,,,1.0
20005801,Ciudad de Buenos Aires,2113,1.0,,,1.0,1.0
20006000,Ciudad de Buenos Aires,2104,,,,,
20006100,Ciudad de Buenos Aires,2115,,,,,
20006200,Ciudad de Buenos Aires,2104,,,,,
20006300,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20006500,Ciudad de Buenos Aires,2101,1.0,,1.0,1.0,
20007000,Ciudad de Buenos Aires,2111,,,,,
20007100,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20007200,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20007202,Ciudad de Buenos Aires,2101,1.0,1.0,1.0,,
20007300,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20007500,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20007501,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20007502,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20007600,Ciudad de Buenos Aires,2104,1.0,,1.0,,
20007700,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20007800,Ciudad de Buenos Aires,2105,1.0,,,,1.0
20007900,Ciudad de Buenos Aires,2109,1.0,,,,1.0
20008000,Ciudad de Buenos Aires,2110,,,,,
20008200,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,
20008300,Ciudad de Buenos Aires,2112,1.0,1.0,1.0,1.0,1.0
20008400,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,,
20008500,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20008600,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20008900,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20009000,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20009100,Ciudad de Buenos Aires,2112,1.0,1.0,1.0,1.0,1.0
20009500,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,1.0
20009600,Ciudad de Buenos Aires,2102,,,,,
20009700,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,,
20009800,Ciudad de Buenos Aires,2115,1.0,1.0,1.0,,
20009801,Ciudad de Buenos Aires,2115,1.0,,,1.0,1.0
20009900,Ciudad de Buenos Aires,2112,1.0,1.0,1.0,1.0,
20010000,Ciudad de Buenos Aires,2114,1.0,,1.0,1.0,1.0
20010200,Ciudad de Buenos Aires,2108,1.0,,,,1.0
20010201,Ciudad de Buenos Aires,2108,1.0,1.0,1.0,1.0,
20010300,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20010400,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,
20010500,Ciudad de Buenos Aires,2106,,,,,
20010600,Ciudad de Buenos Aires,2105,,,,,
20010601,Ciudad de Buenos Aires,2107,,,,,
20010700,Ciudad de Buenos Aires,2103,,,,,
20010800,Ciudad de Buenos Aires,2108,,,,,
20011000,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011100,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011200,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011300,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011400,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,1.0,
20011500,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,1.0,1.0
20011600,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,1.0
20011700,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20011800,Ciudad de Buenos Aires,2101,1.0,1.0,1.0,1.0,1.0
20011900,Ciudad de Buenos Aires,2104,,,,,
20011901,Ciudad de Buenos Aires,2108,,,,,
20012000,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20012100,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20012300,Ciudad de Buenos Aires,2114,1.0,,,1.0,1.0
20012301,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,,1.0
20012400,Ciudad de Buenos Aires,2113,,,,,
20012500,Ciudad de Buenos Aires,2114,1.0,,,1.0,
20012600,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20012700,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,1.0
20012800,Ciudad de Buenos Aires,2114,1.0,,,1.0,
20012900,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20013000,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20013500,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20013600,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20013800,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,1.0
20013900,Ciudad de Buenos Aires,2107,1.0,,,1.0,
