Departamento,provincia,cantidad
CAPITAL,Córdoba,1418
ROSARIO,Santa Fe,1277
LA MATANZA,Buenos Aires,1201
LA PLATA,Buenos Aires,859
SAN FERNANDO,Chaco,805
LA CAPITAL,Santa Fe,754
GENERAL PUEYRREDON,Buenos Aires,670
LOMAS DE ZAMORA,Buenos Aires,661
PARANA,Entre Ríos,628
CAPITAL,Tucumán,563
GENERAL ROCA,Río Negro,560
QUILMES,Buenos Aires,536
ALMIRANTE BROWN,Buenos Aires,504
CONFLUENCIA,Neuquén,489
CAPITAL,Misiones,451
MORENO,Buenos Aires,439
SAN JUSTO,Córdoba,434
MERLO,Buenos Aires,428
LANUS,Buenos Aires,428
GENERAL GUEMES,Chaco,409
RIO CUARTO,Córdoba,403
TIGRE,Buenos Aires,395
CAPITAL,Salta,393
CAPITAL,Corrientes,385
GENERAL OBLIGADO,Santa Fe,381
PATIÑO,Formosa,375
GENERAL SAN MARTIN,Buenos Aires,370
BAHIA BLANCA,Buenos Aires,367
AVELLANEDA,Buenos Aires,367
CAPITAL,Santiago del Estero,360
MORON,Buenos Aires,357
SAN RAFAEL,Mendoza,354
PILAR,Buenos Aires,351
FLORENCIO VARELA,Buenos Aires,346
GENERAL LOPEZ,Santa Fe,343
FORMOSA,Formosa,343
BERAZATEGUI,Buenos Aires,339
Comuna 15,Ciudad de Buenos Aires,336
DOCTOR MANUEL BELGRANO,Jujuy,334
SAN ISIDRO,Buenos Aires,327
TRES DE FEBRERO,Buenos Aires,314
CASTELLANOS,Santa Fe,313
COLON,Córdoba,312
SAN MIGUEL,Buenos Aires,308
OBERA,Misiones,302
GUAYMALLEN,Mendoza,299
VICENTE LOPEZ,Buenos Aires,282
GUARANI,Misiones,277
Comuna 4,Ciudad de Buenos Aires,276
CAPITAL,Mendoza,274
PIRANE,Formosa,267
ESCOBAR,Buenos Aires,263
BANDA,Santiago del Estero,263
Comuna 1,Ciudad de Buenos Aires,260
GUALEGUAYCHU,Entre Ríos,259
MALVINAS ARGENTINAS,Buenos Aires,255
ESTEBAN ECHEVERRIA,Buenos Aires,251
CAPITAL,San Juan,246
PUNILLA,Córdoba,246
CRUZ ALTA,Tucumán,246
LAS COLONIAS,Santa Fe,243
BARILOCHE,Río Negro,241
GODOY CRUZ,Mendoza,236
UNION,Córdoba,236
CONCORDIA,Entre Ríos,236
CAPITAL,La Rioja,236
LAS HERAS,Mendoza,229
OLAVARRIA,Buenos Aires,225
CAINGUAS,Misiones,225
LIBERTADOR GENERAL SAN MARTIN,Chaco,221
COMANDANTE FERNANDEZ,Chaco,219
Comuna 8,Ciudad de Buenos Aires,217
MAIPU,Mendoza,217
ESCALANTE,Chubut,216
PILCOMAYO,Formosa,215
SAN CRISTOBAL,Santa Fe,213
SAN NICOLAS,Buenos Aires,212
TANDIL,Buenos Aires,211
GENERAL JUAN MARTIN DE PUEYRREDON,San Luis,209
RAWSON,Chubut,209
SAN LORENZO,Santa Fe,208
GENERAL SAN MARTIN,Córdoba,208
URUGUAY,Entre Ríos,206
SAN IGNACIO,Misiones,205
Comuna 3,Ciudad de Buenos Aires,204
MARCOS JUAREZ,Córdoba,204
