id_departamento,Departamento,id_provincia
6882,ZARATE,6
6515,MALVINAS ARGENTINAS,6
6700,SAAVEDRA,6
6035,AVELLANEDA,6
6651,PUAN,6
6714,SALTO,6
6182,CORONEL DE MARINA L ROSALES,6
6525,MARCOS PAZ,6
42133,REALICO,42
42105,MARACO,42
42049,CHALILEO,42
42028,CATRILO,42
42154,UTRACAN,42
50091,SAN CARLOS,50
50098,SAN MARTIN,50
50084,RIVADAVIA,50
2109,Comuna 9,2
2115,Comuna 5,2
2106,Comuna 6,2
6847,TRES LOMAS,6
6644,PINAMAR,6
10098,SANTA ROSA,10
10035,BELEN,10
14098,RIO CUARTO,14
18049,ESQUINA,18
22007,ALMIRANTE BROWN,22
22112,O HIGGINS,22
22039,2 DE ABRIL,22
22154,SARGENTO CABRAL,22
22168,25 DE MAYO,22
34035,PATIÑO,34
34007,BERMEJO,34
38094,TILCARA,38
54028,CAPITAL,54
54070,LEANDRO N. ALEM,54
58035,CONFLUENCIA,58
58098,PICUN LEUFU,58
58007,ALUMINE,58
62014,AVELLANEDA,62
62028,CONESA,62
62070,PILCANIYEU,62
66049,GENERAL GUEMES,66
66070,IRUYA,66
66091,LA POMA,66
70042,CHIMBAS,70
70091,SAN MARTIN,70
70133,ZONDA,70
70112,ULLUM,70
74014,BELGRANO,74
78035,LAGO BUENOS AIRES,78
82133,VERA,82
82084,ROSARIO,82
82119,SAN LORENZO,82
90084,CAPITAL,90
90042,JUAN B ALBERDI,90
90014,CRUZ ALTA,90
94007,RIO GRANDE,94
94014,USHUAIA,94
6568,MORON,6
6410,ITUZAINGO,6
6791,TANDIL,6
6602,PATAGONES,6
6315,GENERAL JUAN MADARIAGA,6
6385,GENERAL VIAMONTE,6
6084,BENITO JUAREZ,6
6532,MERCEDES,6
6119,BRANDSEN,6
6665,RAMALLO,6
6658,QUILMES,6
6434,LANUS,6
6056,BAHIA BLANCA,6
42147,TRENEL,42
42119,QUEMU QUEMU,42
42098,LOVENTUE,42
42140,TOAY,42
42112,PUELEN,42
46014,CAPITAL,46
46049,FAMATINA,46
46119,SAN BLAS DE LOS SAUCES,46
50007,CAPITAL,50
50042,LA PAZ,50
2103,Comuna 3,2
2110,Comuna 10,2
2112,Comuna 12,2
2108,Comuna 8,2
6420,LA COSTA,6
6511,MAIPU,6
6308,GENERAL GUIDO,6
6630,PILA,6
6455,LAS FLORES,6
6819,TORNQUIST,6
6756,SAN ISIDRO,6
10049,CAPITAL,10
10084,POMAN,10
10042,CAPAYAN,10
10105,TINOGASTA,10
