id_departamento,Cueanexo,Departamento,Común,Primario,Jardin,Secundario
2028,20000100,Comuna 4,1.0,0.0,0.0,1.0
2028,20000102,Comuna 4,1.0,1.0,1.0,0.0
2028,20000200,Comuna 4,1.0,1.0,0.0,0.0
2091,20000300,Comuna 13,1.0,0.0,1.0,0.0
2091,20000301,Comuna 13,1.0,1.0,0.0,0.0
2091,20000500,Comuna 13,1.0,1.0,1.0,1.0
2063,20000700,Comuna 9,1.0,1.0,1.0,1.0
2063,20000800,Comuna 9,1.0,1.0,0.0,0.0
2028,20000900,Comuna 4,1.0,1.0,0.0,0.0
2028,20001000,Comuna 4,1.0,1.0,0.0,0.0
2028,20001100,Comuna 4,1.0,1.0,0.0,0.0
2028,20001200,Comuna 4,1.0,1.0,0.0,0.0
2007,20001500,Comuna 1,,0.0,0.0,0.0
2091,20001700,Comuna 13,1.0,1.0,1.0,0.0
2077,20001800,Comuna 11,1.0,1.0,0.0,0.0
2021,20001900,Comuna 3,,0.0,0.0,0.0
2105,20002000,Comuna 5,,0.0,0.0,0.0
2021,20002100,Comuna 3,,0.0,0.0,0.0
2063,20002200,Comuna 9,1.0,1.0,0.0,0.0
2063,20002300,Comuna 9,1.0,1.0,0.0,0.0
2070,20002400,Comuna 10,1.0,1.0,0.0,0.0
2070,20002500,Comuna 10,1.0,1.0,0.0,0.0
2091,20002600,Comuna 13,1.0,0.0,0.0,0.0
2091,20002700,Comuna 13,1.0,0.0,1.0,0.0
2091,20002800,Comuna 13,1.0,1.0,1.0,0.0
2028,20002900,Comuna 4,1.0,1.0,1.0,0.0
2014,20003100,Comuna 2,1.0,1.0,1.0,1.0
2007,20003300,Comuna 1,1.0,1.0,1.0,0.0
2014,20003400,Comuna 2,1.0,1.0,1.0,0.0
2007,20003600,Comuna 1,,0.0,0.0,0.0
2028,20003700,Comuna 4,1.0,0.0,1.0,0.0
2028,20003800,Comuna 4,1.0,1.0,0.0,0.0
2028,20003900,Comuna 4,1.0,1.0,0.0,0.0
2049,20004000,Comuna 7,1.0,1.0,0.0,0.0
2028,20004100,Comuna 4,1.0,1.0,0.0,0.0
2028,20004200,Comuna 4,1.0,1.0,0.0,0.0
2028,20004300,Comuna 4,1.0,1.0,0.0,0.0
2049,20004400,Comuna 7,1.0,0.0,1.0,0.0
2021,20004500,Comuna 3,,0.0,0.0,0.0
2105,20004600,Comuna 15,1.0,1.0,0.0,0.0
2098,20004700,Comuna 14,1.0,1.0,1.0,0.0
2105,20004800,Comuna 15,1.0,1.0,0.0,0.0
2028,20004900,Comuna 4,1.0,1.0,1.0,0.0
2028,20005000,Comuna 4,1.0,1.0,0.0,0.0
2105,20005100,Comuna 15,1.0,1.0,0.0,0.0
2105,20005200,Comuna 15,,0.0,0.0,0.0
2028,20005300,Comuna 4,1.0,1.0,0.0,0.0
2077,20005400,Comuna 11,1.0,1.0,1.0,0.0
2007,20005500,Comuna 1,1.0,0.0,1.0,0.0
2021,20005600,Comuna 3,1.0,1.0,0.0,0.0
2028,20005700,Comuna 4,,0.0,0.0,0.0
2021,20005800,Comuna 3,1.0,0.0,0.0,1.0
2091,20005801,Comuna 13,1.0,1.0,0.0,1.0
2028,20006000,Comuna 4,,0.0,0.0,0.0
2105,20006100,Comuna 15,,0.0,0.0,0.0
2028,20006200,Comuna 4,,0.0,0.0,0.0
2007,20006300,Comuna 1,1.0,1.0,0.0,0.0
2007,20006500,Comuna 1,1.0,1.0,1.0,0.0
2077,20007000,Comuna 11,,0.0,0.0,0.0
2007,20007100,Comuna 1,1.0,1.0,0.0,0.0
2007,20007200,Comuna 1,1.0,1.0,0.0,0.0
2007,20007202,Comuna 1,1.0,0.0,1.0,0.0
2007,20007300,Comuna 1,1.0,1.0,0.0,0.0
2070,20007500,Comuna 10,1.0,0.0,1.0,0.0
2070,20007501,Comuna 10,1.0,0.0,1.0,0.0
2070,20007502,Comuna 10,1.0,0.0,1.0,0.0
2028,20007600,Comuna 4,1.0,0.0,1.0,0.0
2028,20007700,Comuna 4,1.0,1.0,0.0,0.0
2105,20007800,Comuna 5,1.0,0.0,0.0,1.0
2063,20007900,Comuna 9,1.0,0.0,0.0,1.0
2070,20008000,Comuna 10,,0.0,0.0,0.0
2014,20008200,Comuna 2,1.0,1.0,1.0,0.0
2084,20008300,Comuna 12,1.0,1.0,1.0,1.0
2070,20008400,Comuna 10,1.0,0.0,1.0,0.0
2070,20008500,Comuna 10,1.0,1.0,0.0,0.0
2070,20008600,Comuna 10,1.0,1.0,0.0,0.0
2028,20008900,Comuna 4,1.0,1.0,0.0,0.0
2056,20009000,Comuna 8,1.0,1.0,0.0,0.0
2084,20009100,Comuna 12,1.0,1.0,1.0,1.0
2098,20009500,Comuna 14,1.0,1.0,1.0,1.0
2014,20009600,Comuna 2,,0.0,0.0,0.0
2070,20009700,Comuna 10,1.0,0.0,1.0,0.0
2105,20009800,Comuna 15,1.0,0.0,1.0,0.0
2105,20009801,Comuna 15,1.0,1.0,0.0,1.0
2084,20009900,Comuna 12,1.0,1.0,1.0,0.0
2098,20010000,Comuna 14,1.0,1.0,1.0,1.0
2056,20010200,Comuna 8,1.0,0.0,0.0,1.0
2056,20010201,Comuna 8,1.0,1.0,1.0,0.0
2056,20010300,Comuna 8,1.0,1.0,0.0,0.0
2028,20010400,Comuna 4,1.0,1.0,1.0,0.0
2042,20010500,Comuna 6,,0.0,0.0,0.0
2105,20010600,Comuna 5,,0.0,0.0,0.0
2049,20010601,Comuna 7,,0.0,0.0,0.0
2021,20010700,Comuna 3,,0.0,0.0,0.0
2056,20010800,Comuna 8,,0.0,0.0,0.0
2063,20011000,Comuna 9,1.0,1.0,0.0,0.0
2063,20011100,Comuna 9,1.0,1.0,0.0,0.0
2063,20011200,Comuna 9,1.0,1.0,0.0,0.0
2063,20011300,Comuna 9,1.0,1.0,0.0,0.0
2042,20011400,Comuna 6,1.0,1.0,1.0,0.0
2070,20011500,Comuna 10,1.0,1.0,1.0,1.0
2084,20011600,Comuna 12,1.0,1.0,1.0,1.0
2049,20011700,Comuna 7,1.0,0.0,1.0,0.0
2007,20011800,Comuna 1,1.0,1.0,1.0,1.0
2028,20011900,Comuna 4,,0.0,0.0,0.0
2056,20011901,Comuna 8,,0.0,0.0,0.0
2007,20012000,Comuna 1,1.0,1.0,0.0,0.0
2007,20012100,Comuna 1,1.0,1.0,0.0,0.0
2098,20012300,Comuna 14,1.0,1.0,0.0,1.0
2098,20012301,Comuna 14,1.0,0.0,1.0,1.0
2091,20012400,Comuna 13,,0.0,0.0,0.0
2098,20012500,Comuna 14,1.0,1.0,0.0,0.0
2091,20012600,Comuna 13,1.0,1.0,1.0,1.0
2098,20012700,Comuna 14,1.0,1.0,1.0,1.0
2098,20012800,Comuna 14,1.0,1.0,0.0,0.0
2091,20012900,Comuna 13,1.0,0.0,0.0,1.0
2105,20013000,Comuna 15,1.0,1.0,0.0,0.0
2028,20013500,Comuna 4,1.0,1.0,0.0,0.0
2084,20013600,Comuna 12,1.0,1.0,0.0,0.0
2084,20013800,Comuna 12,1.0,1.0,1.0,1.0
2049,20013900,Comuna 7,1.0,1.0,0.0,0.0
2077,20014000,Comuna 11,1.0,1.0,0.0,0.0
2049,20014100,Comuna 7,1.0,1.0,0.0,0.0
2077,20014200,Comuna 11,1.0,1.0,1.0,1.0
2077,20014300,Comuna 11,1.0,0.0,0.0,1.0
2077,20014400,Comuna 11,1.0,0.0,1.0,0.0
2077,20014500,Comuna 11,1.0,0.0,0.0,1.0
2007,20014600,Comuna 1,1.0,1.0,1.0,0.0
2063,20014700,Comuna 9,,0.0,0.0,0.0
2028,20015000,Comuna 4,1.0,1.0,1.0,1.0
2105,20015200,Comuna 15,1.0,0.0,0.0,1.0
2056,20015300,Comuna 8,1.0,1.0,0.0,0.0
2028,20015400,Comuna 4,1.0,1.0,0.0,0.0
2049,20015500,Comuna 7,1.0,0.0,1.0,0.0
2049,20015700,Comuna 7,1.0,0.0,1.0,0.0
2049,20015701,Comuna 7,1.0,1.0,0.0,0.0
2105,20015800,Comuna 5,1.0,0.0,1.0,0.0
2042,20015801,Comuna 6,1.0,0.0,1.0,0.0
2105,20015900,Comuna 15,1.0,0.0,0.0,1.0
2105,20016000,Comuna 15,1.0,1.0,0.0,0.0
2077,20016100,Comuna 11,1.0,1.0,0.0,0.0
2070,20016200,Comuna 10,,0.0,0.0,0.0
2077,20016300,Comuna 11,1.0,0.0,0.0,1.0
2049,20016500,Comuna 7,1.0,1.0,0.0,0.0
2077,20016600,Comuna 11,1.0,1.0,0.0,0.0
2077,20016700,Comuna 11,1.0,1.0,0.0,0.0
2077,20016800,Comuna 11,1.0,1.0,1.0,0.0
2049,20016900,Comuna 7,1.0,1.0,0.0,0.0
2049,20017000,Comuna 7,1.0,0.0,1.0,0.0
2021,20017400,Comuna 3,1.0,1.0,1.0,1.0
2105,20017500,Comuna 5,1.0,0.0,0.0,0.0
2070,20017700,Comuna 10,1.0,0.0,1.0,0.0
2070,20017701,Comuna 10,1.0,0.0,1.0,0.0
2070,20017702,Comuna 10,1.0,0.0,1.0,0.0
2070,20017800,Comuna 10,1.0,1.0,1.0,1.0
2084,20017900,Comuna 12,,0.0,0.0,0.0
2077,20018100,Comuna 11,1.0,1.0,0.0,0.0
2063,20018400,Comuna 9,1.0,1.0,0.0,0.0
2063,20018500,Comuna 9,1.0,1.0,0.0,0.0
2063,20018600,Comuna 9,1.0,1.0,0.0,0.0
2063,20018700,Comuna 9,1.0,0.0,1.0,0.0
2063,20018701,Comuna 9,1.0,0.0,1.0,0.0
2063,20018702,Comuna 9,1.0,0.0,1.0,0.0
2098,20018800,Comuna 14,1.0,0.0,1.0,0.0
2098,20018900,Comuna 14,1.0,1.0,0.0,0.0
2014,20019000,Comuna 2,1.0,1.0,1.0,1.0
2049,20019200,Comuna 7,1.0,0.0,0.0,1.0
2070,20019300,Comuna 10,1.0,1.0,0.0,0.0
2049,20019400,Comuna 7,1.0,1.0,1.0,0.0
2070,20019600,Comuna 10,1.0,1.0,0.0,0.0
2007,20019700,Comuna 1,,0.0,0.0,0.0
2007,20019701,Comuna 1,,0.0,0.0,0.0
2077,20019800,Comuna 11,1.0,1.0,1.0,1.0
2077,20019900,Comuna 11,1.0,1.0,1.0,1.0
2105,20020000,Comuna 15,,0.0,0.0,0.0
2098,20020100,Comuna 14,1.0,0.0,0.0,1.0
2098,20020101,Comuna 14,1.0,1.0,1.0,0.0
2105,20020200,Comuna 15,1.0,1.0,0.0,0.0
2105,20020300,Comuna 15,1.0,1.0,1.0,1.0
2084,20020600,Comuna 12,1.0,1.0,1.0,0.0
2084,20020700,Comuna 12,1.0,1.0,0.0,0.0
2084,20020800,Comuna 12,1.0,1.0,0.0,0.0
2105,20020900,Comuna 15,1.0,0.0,1.0,0.0
2105,20020901,Comuna 15,1.0,1.0,0.0,0.0
2105,20020902,Comuna 15,1.0,0.0,0.0,1.0
2098,20021200,Comuna 14,1.0,0.0,1.0,0.0
2091,20021300,Comuna 13,1.0,1.0,0.0,0.0
2105,20021400,Comuna 5,1.0,1.0,0.0,0.0
2077,20021500,Comuna 11,1.0,1.0,0.0,0.0
2077,20021600,Comuna 11,1.0,1.0,0.0,0.0
2091,20021700,Comuna 13,1.0,1.0,1.0,1.0
2091,20021800,Comuna 13,1.0,1.0,1.0,1.0
2077,20021900,Comuna 11,1.0,1.0,0.0,0.0
2049,20022000,Comuna 7,1.0,0.0,1.0,0.0
2049,20022001,Comuna 7,1.0,0.0,1.0,0.0
2049,20022002,Comuna 7,1.0,0.0,1.0,0.0
2105,20022100,Comuna 15,1.0,1.0,0.0,0.0
2105,20022200,Comuna 15,,0.0,0.0,0.0
2105,20022300,Comuna 15,1.0,1.0,1.0,1.0
2105,20022400,Comuna 15,1.0,1.0,1.0,0.0
2105,20022500,Comuna 15,1.0,1.0,1.0,0.0
2084,20023000,Comuna 12,1.0,1.0,0.0,0.0
2084,20023100,Comuna 12,1.0,1.0,1.0,1.0
2007,20023200,Comuna 1,1.0,0.0,0.0,0.0
2007,20023300,Comuna 1,1.0,0.0,0.0,0.0
2105,20023400,Comuna 15,1.0,1.0,1.0,0.0
2105,20023500,Comuna 15,1.0,0.0,0.0,1.0
2105,20023600,Comuna 5,1.0,1.0,0.0,0.0
2084,20023700,Comuna 12,1.0,1.0,0.0,0.0
