id_departamento,Rango etario,casos
2101.0,0 a 2,5368.0
2101.0,3 a 5,6851.0
2101.0,6 a 11,14886.0
2101.0,12 a 18,17171.0
2101.0,19 a 29,42832.0
2101.0,30 a 45,56682.0
2101.0,46 a 60,38072.0
2101.0,> 60,39139.0
,,
,,
2102.0,0 a 2,3095.0
2102.0,3 a 5,3521.0
2102.0,6 a 11,7503.0
2102.0,12 a 18,10410.0
2102.0,19 a 29,34585.0
2102.0,30 a 45,36161.0
2102.0,46 a 60,26272.0
2102.0,> 60,39062.0
,,
,,
2103.0,0 a 2,4021.0
2103.0,3 a 5,5197.0
2103.0,6 a 11,11820.0
2103.0,12 a 18,14359.0
2103.0,19 a 29,34474.0
2103.0,30 a 45,49637.0
2103.0,46 a 60,35292.0
2103.0,> 60,38737.0
,,
,,
2104.0,0 a 2,5724.0
2104.0,3 a 5,8119.0
2104.0,6 a 11,19242.0
2104.0,12 a 18,22147.0
2104.0,19 a 29,37051.0
2104.0,30 a 45,55333.0
2104.0,46 a 60,39752.0
2104.0,> 60,39656.0
,,
,,
2105.0,0 a 2,3669.0
2105.0,3 a 5,4779.0
2105.0,6 a 11,11151.0
2105.0,12 a 18,13494.0
2105.0,19 a 29,29390.0
2105.0,30 a 45,50973.0
2105.0,46 a 60,36124.0
2105.0,> 60,42869.0
,,
,,
2106.0,0 a 2,4024.0
2106.0,3 a 5,5158.0
2106.0,6 a 11,11819.0
2106.0,12 a 18,14351.0
2106.0,19 a 29,26909.0
2106.0,30 a 45,51862.0
2106.0,46 a 60,38415.0
2106.0,> 60,49226.0
,,
,,
2107.0,0 a 2,4653.0
2107.0,3 a 5,6129.0
2107.0,6 a 11,14705.0
2107.0,12 a 18,17938.0
2107.0,19 a 29,30728.0
2107.0,30 a 45,51324.0
2107.0,46 a 60,40325.0
2107.0,> 60,47460.0
,,
,,
2108.0,0 a 2,6126.0
2108.0,3 a 5,8442.0
2108.0,6 a 11,20231.0
2108.0,12 a 18,23814.0
2108.0,19 a 29,35748.0
2108.0,30 a 45,47505.0
2108.0,46 a 60,33059.0
2108.0,> 60,28963.0
,,
,,
2109.0,0 a 2,3558.0
2109.0,3 a 5,5015.0
2109.0,6 a 11,12293.0
2109.0,12 a 18,15783.0
2109.0,19 a 29,23969.0
