id_departamento,nro_conabip,provincia,fecha_fundacion,mail
6854,938,Buenos Aires,1922-10-02,
6588,200,Buenos Aires,1980-01-01,
6588,1850,Buenos Aires,1933-10-12,
6007,88,Buenos Aires,1912-08-23,
6007,1278,Buenos Aires,1925-01-01,ccibiblio@hotmail.com
6014,1062,Buenos Aires,1925-05-10,bipobrchaves@yahoo.com.ar
6014,2170,Buenos Aires,1942-11-30,barrerabp@hotmail.com
6021,1554,Buenos Aires,1925-01-01,eleana_1983@hotmail.com
6028,90,Buenos Aires,1918-08-01,
6028,4001,Buenos Aires,1999-08-28,
6028,3792,Buenos Aires,1980-01-01,bpmgandhi@tutopia.com
6028,2870,Buenos Aires,1969-03-22,bibliorojaspaz@gmail.com
6028,3952,Buenos Aires,1998-05-16,bib_manuelbelgrano_glew@yahoo.com.ar
6028,4260,Buenos Aires,2007-11-16,neanvi@yahoo.com.ar
6028,2982,Buenos Aires,1956-03-11,bibmfierro@yahoo.com.ar
6028,3841,Buenos Aires,1999-12-10,atahualpa1999@gmail.com
6427,3950,Buenos Aires,1980-01-01,
6035,2296,Buenos Aires,1932-03-01,bibpopularmitre@yahoo.com.ar
6035,2543,Buenos Aires,1940-06-28,bjmarmol@yahoo.com.ar
6035,3063,Buenos Aires,2001-09-15,spebpop@gmail.com
6035,3561,Buenos Aires,1996-05-07,bipopalacios@yahoo.com.ar
6035,3824,Buenos Aires,1919-12-22,bpmavellaneda@hotmail.com
6035,4136,Buenos Aires,1980-01-01,bibliotecabravo@yahoo.com.ar
6035,3908,Buenos Aires,1998-04-24,bibliotecapopulardocksud@gmail.com
6035,252,Buenos Aires,1918-10-10,punkyflores69@hotmail.com
6035,4086,Buenos Aires,2002-06-02,
6035,217,Buenos Aires,1921-10-28,
6035,3719,Buenos Aires,1987-07-24,bibliotecapopularpteavellaneda@yahoo.com.ar
6035,4192,Buenos Aires,1980-01-01,bsfsarmiento1925@yahoo.com.ar
6035,3051,Buenos Aires,1985-09-13,bnicolasavellaneda@yahoo.com.ar
6035,911,Buenos Aires,1922-05-14,
6035,4265,Buenos Aires,2008-07-09,bibliotecapopularoscarsmith@yahoo.com
6042,3193,Buenos Aires,,
6049,83,Buenos Aires,,info@bibliotecaronco.com.ar
6049,111,Buenos Aires,1918-05-26,
6049,2068,Buenos Aires,1939-01-06,bibliochillar@yahoo.com.ar
6056,100,Buenos Aires,,abrbp@abrbp.org.ar
6056,1663,Buenos Aires,1922-04-10,bibliotecabmitre@yahoo.com.ar
6056,2790,Buenos Aires,1960-09-27,
6056,3392,Buenos Aires,1980-01-01,
6056,3587,Buenos Aires,1980-01-01,bibliotecamallea@yahoo.com.ar
6056,3795,Buenos Aires,1996-11-20,bpggbb@yahoo.com.ar
6056,3929,Buenos Aires,2000-09-16,biblioteca_rosariosur@yahoo.com.ar
6056,4022,Buenos Aires,1996-04-13,bibpopgabmistral@yahoo.com.ar
6056,4137,Buenos Aires,1980-01-01,simonrodriguezbiblioteca@gmail.com
6056,4155,Buenos Aires,1980-01-01,biblioduprat@gmail.com
6056,4256,Buenos Aires,2006-04-24,bibliotecamartinallica@yahoo.com.ar
6056,2871,Buenos Aires,1963-06-01,
6056,2841,Buenos Aires,1966-11-10,
6056,1465,Buenos Aires,1925-08-24,bibliomarianomorenoiw@gmail.com
6056,3132,Buenos Aires,1989-12-29,bibliotecapronsato@yahoo.com.ar
6063,1021,Buenos Aires,1923-12-01,bibliotecapizzurno@yahoo.com.ar
6070,1469,Buenos Aires,,
6070,2159,Buenos Aires,1919-10-05,
6070,3718,Buenos Aires,1980-01-01,
6077,2688,Buenos Aires,1939-04-22,bibmitre@yahoo.com.ar
6084,2723,Buenos Aires,1946-12-26,bipopbernaltorres@gmail.com
6091,1280,Buenos Aires,1924-08-04,bpmbelgrano@hotmail.com
6091,3046,Buenos Aires,1986-11-04,bibliotecapadremugica@hotmail.com
6091,4075,Buenos Aires,2002-09-21,bibliotecapopularjmgutierrez@hotmail.com
6091,3033,Buenos Aires,1984-05-12,bibliotecadeplatanos@yahoo.com.ar
6091,4169,Buenos Aires,1980-01-01,ranelaghbibliocampo@yahoo.com.ar
6098,1864,Buenos Aires,1935-07-09,bibliopopularpestalozzi@gmail.com
6098,2082,Buenos Aires,1944-06-11,
6098,2473,Buenos Aires,1949-02-02,bibliotecaguiraldes@yahoo.com.ar
6098,2490,Buenos Aires,1943-06-06,
