Departamento,provincia,cantidad
ROSARIO,Santa Fe,49803
CAPITAL,Córdoba,28360
LA PLATA,Buenos Aires,28347
SAN FERNANDO,Chaco,24955
CONFLUENCIA,Neuquén,19560
LA MATANZA,Buenos Aires,19216
LA CAPITAL,Santa Fe,17342
GENERAL ROCA,Río Negro,16240
CAPITAL,Salta,10611
CAPITAL,Santiago del Estero,9360
SAN JUSTO,Córdoba,8680
LOMAS DE ZAMORA,Buenos Aires,7932
GENERAL LOPEZ,Santa Fe,7203
MORENO,Buenos Aires,7024
PARANA,Entre Ríos,6908
CASTELLANOS,Santa Fe,6573
RIO CUARTO,Córdoba,6448
CAPITAL,Corrientes,5775
CAPITAL,Tucumán,5630
LANUS,Buenos Aires,5564
ALMIRANTE BROWN,Buenos Aires,5544
BAHIA BLANCA,Buenos Aires,5505
AVELLANEDA,Buenos Aires,5505
GENERAL OBLIGADO,Santa Fe,5334
GENERAL SAN MARTIN,Buenos Aires,5180
TIGRE,Buenos Aires,5135
SAN RAFAEL,Mendoza,4956
QUILMES,Buenos Aires,4824
LAS COLONIAS,Santa Fe,4374
GENERAL PUEYRREDON,Buenos Aires,4020
CAPITAL,San Juan,3936
FLORENCIO VARELA,Buenos Aires,3460
COLON,Córdoba,3432
BANDA,Santiago del Estero,3419
CAPITAL,Misiones,3157
TANDIL,Buenos Aires,2954
PUNILLA,Córdoba,2952
RAWSON,Chubut,2926
TRES DE FEBRERO,Buenos Aires,2826
FORMOSA,Formosa,2744
OLAVARRIA,Buenos Aires,2475
CONSTITUCION,Santa Fe,2465
SAN CRISTOBAL,Santa Fe,2343
DOCTOR MANUEL BELGRANO,Jujuy,2338
SAN ISIDRO,Buenos Aires,2289
MARCOS JUAREZ,Córdoba,2244
BARILOCHE,Río Negro,2169
PILAR,Buenos Aires,2106
GENERAL JUAN MARTIN DE PUEYRREDON,San Luis,2090
GUALEGUAYCHU,Entre Ríos,2072
BERAZATEGUI,Buenos Aires,2034
PILCOMAYO,Formosa,1720
IRIONDO,Santa Fe,1716
MERLO,Buenos Aires,1712
VICENTE LOPEZ,Buenos Aires,1692
GENERAL SAN MARTIN,Córdoba,1664
UNION,Córdoba,1652
VERA,Santa Fe,1584
